sample_id	subject_id	clone_id	seq_count	seq_freq
P05_FNA_3_12_Y1	P05	467	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	469	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	473	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	475	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	476	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	481	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	491	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	497	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	499	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	50	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	501	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	502	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	51	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	516	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	52	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	527	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	534	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	543	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	545	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	554	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	560	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	562	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	563	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	567	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	571	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	573	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	574	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	576	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	577	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	58	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	588	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	592	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	600	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	602	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	611	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	62	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	630	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	631	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	643	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	655	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	656	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	673	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	676	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	68	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	690	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	70	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	702	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	72	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	74	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	90	1	0.00409836065573771
P05_FNA_3_28_Y1	P05	1	1	0.00529100529100529
P05_FNA_3_28_Y1	P05	100	1	0.00529100529100529
P05_FNA_3_28_Y1	P05	101	1	0.00529100529100529
P05_FNA_3_28_Y1	P05	109	1	0.00529100529100529
P05_FNA_3_28_Y1	P05	110	1	0.00529100529100529
